,Segments,Type,YEAR,Total exports million USD,Main exports destiny,Value exports main partner,Partner share (%),Total Imports million U$S,Main imports origin,Value imports main partner,COUNTRY,DESCRIPTION,VALUE,PARTNER,SOURCE
59,Equipamentos para laboratorio,Imports,2021.0,,,,0.337,352983.0,United States,118841.0,Brazil,,,,
60,Materiais e aparelhos para odontologia,Imports,2021.0,,,,0.176,165136.0,Alemanha,29075.0,Brazil,,,,
61,Materiais e suprimentos,Imports,2021.0,,,,0.239,1285881.0,Malaysia,307723.0,Brazil,,,,
62,MobiliÃ¡rio para uso odonto/medico/hospitalar,Imports,2021.0,,,,0.5,33058.0,China,16531.0,Brazil,,,,
63,Oftalmologia,Imports,2021.0,,,,0.57,100333.0,United States,57229.0,Brazil,,,,
64,OPME,Imports,2021.0,,,,0.31,439482.0,United States,136046.0,Brazil,,,,
65,Ortopedia,Imports,2021.0,,,,0.259,209271.0,United States,54168.0,Brazil,,,,
66,Reagentes para IVD,Imports,2021.0,,,,0.206,2721549.0,United States,559943.0,Brazil,,,,
67,Equipamentos e analisadores para IVD,Imports,2021.0,,,,0.311,453623.0,United States,141213.0,Brazil,,,,
68,Total de Dispositivos Medicos (DMs),exports,2022.0,799762.0,United States,156420.0,0.196,,,,Brazil,,,,
69,Materiais e equipamentos para a saude,exports,2022.0,658296.0,United States,144304.0,0.219,,,,Brazil,,,,
70,Audiologia,exports,2022.0,5787.0,United States,1313.0,0.227,,,,Brazil,,,,
71,Cardiovascular,exports,2022.0,73922.0, Irlanda,32423.0,0.439,,,,Brazil,,,,
72,Demais equip. de uso hospitalar - inclusive laser 59107,exports,2022.0,72132.0,United States,21847.0,0.303,,,,Brazil,,,,
73,Diagnostico por imagem e seus insumos,exports,2022.0,33615.0,United States,10623.0,0.316,,,,Brazil,,,,
74,Equip. e material de apoio - OPME,exports,2022.0,68134.0,United States,35528.0,0.521,,,,Brazil,,,,
75,Equipamentos de Protecao Individual (EPIs),exports,2022.0,3151.0, Argentina,980.0,0.311,,,,Brazil,,,,
76,Equipamentos para laboratorio,exports,2022.0,16299.0,United States,4847.0,0.297,,,,Brazil,,,,
77,Materiais e aparelhos para odontologia,exports,2022.0,81785.0,United States,18528.0,0.227,,,,Brazil,,,,
78,Materiais e suprimentos,exports,2022.0,288313.0,United States,55102.0,0.191,,,,Brazil,,,,
79,Mobiliario para uso odonto/medico/hospitalar,exports,2022.0,9962.0, Argentina,2033.0,0.204,,,,Brazil,,,,
80,Oftalmologia,exports,2022.0,1333.0,United States,808.0,0.607,,,,Brazil,,,,
81,OPME,exports,2022.0,221305.0,United States,40701.0,0.184,,,,Brazil,,,,
82,Ortopedia,exports,2022.0,73142.0,United States,14968.0,0.205,,,,Brazil,,,,
83,Reagentes para IVD,exports,2022.0,171173.0, Reino Unido,18340.0,0.107,,,,Brazil,,,,
84,Equipamentos e analisadores para IVD,exports,2022.0,17591.0,United States,5558.0,0.316,,,,Brazil,,,,
85,Total de Dispositivos medicos (DMs),imports,2022.0,,,,0.192,6355.0,United States,1219.0,Brazil,,,,
86,Materiais e equipamentos para a saude,imports,2022.0,,,,0.218,3851.0,United States,839.0,Brazil,,,,
87,Audiologia,imports,2022.0,,,,0.398,120.0,Denmark,48.0,Brazil,,,,
88,Cardiovascular,imports,2022.0,,,,0.255,144.0,United States,37.0,Brazil,,,,
89,Demais equip. de uso hospitalar - inclusive laser,imports,2022.0,,,,0.25,910.0,China,228.0,Brazil,,,,
90,Diagnostico por imagem e seus insumos,imports,2022.0,,,,0.247,514.0,China,127.0,Brazil,,,,
91,Equip. e material de apoio - OPME,imports,2022.0,,,,0.236,536.0,United States,126.0,Brazil,,,,
92,Equipamentos de Protecao Individual (EPIs),imports,2022.0,,,,0.794,125.0,China,99.0,Brazil,,,,
93,Equipamentos para laboratorio,imports,2022.0,,,,0.315,348.0,United States,110.0,Brazil,,,,
94,Materiais e aparelhos para odontologia,imports,2022.0,,,,0.183,189.0,China,35.0,Brazil,,,,
95,Materiais e suprimentos,imports,2022.0,,,,0.204,1084.0,China,221.0,Brazil,,,,
96,MobiliÃ¡rio para uso odonto/medico/hospitalar,imports,2022.0,,,,0.461,43.0,China,20.0,Brazil,,,,
97,Oftalmologia,imports,2022.0,,,,0.537,125.0,United States,67.0,Brazil,,,,
98,OPME,imports,2022.0,,,,0.318,592.0,United States,188.0,Brazil,,,,
99,Ortopedia,imports,2022.0,,,,0.283,272.0,United States,77.0,Brazil,,,,
100,Reagentes para IVD,imports,2022.0,,,,0.175,2471.0,Switzerland,432.0,Brazil,,,,
101,Equipamentos e analisadores para IVD,imports,2022.0,,,,0.32,351.0,United States,112.0,Brazil,,,,
102,,,2020.0,,,,,,,,"South Africa, Eswatini and Kenya",Urine bags imports (USD million),0.667,,Medical Industries in Africa - A regional response to supply shortages
103,,,2018.0,,,,,,,,South Africa,Imports medical technology %,0.9,,Overview of the health technology sector in South Africa
104,,,2018.0,,,,,,,,South Africa,Medical technological market (Rand billion) ,350.0,,Overview of the health technology sector in South Africa
105,,,2018.0,,,,,,,,South Africa,Medical technological market (Euros billion),22.0,,Overview of the health technology sector in South Africa
106,,,2018.0,,,,,,,,South Africa,Imports medical technology (Rand billion),317.0,,Overview of the health technology sector in South Africa
107,,,2018.0,,,,,,,,South Africa,Imports medical technology (Euros billion),19.7,,Overview of the health technology sector in South Africa
108,,,2018.0,,,,,,,,South Africa,Exports medical technology (Rand billion),2.67,,Overview of the health technology sector in South Africa
109,,,2018.0,,,,,,,,South Africa,Exports medical technology (Euros million),166.0,,Overview of the health technology sector in South Africa
110,,,2018.0,,,,,,,,South Africa,Main Partners imports: 10 years row %,0.28,United States,Overview of the health technology sector in South Africa
111,,,2018.0,,,,,,,,South Africa,Main Partners imports: 10 years row %,0.14,Germany,Overview of the health technology sector in South Africa
112,,,2018.0,,,,,,,,South Africa,Main Partners imports: 10 years row %,0.09,China,Overview of the health technology sector in South Africa
113,,,2018.0,,,,,,,,South Africa,Main Partners imports: 10 years row %,0.03,Netherlands,Overview of the health technology sector in South Africa
114,,,2018.0,,,,,,,,South Africa,Imports of microscopes 2010-2019 (Rand Millions ~approximately),65.08,,Overview of the health technology sector in South Africa
115,,,2018.0,,,,,,,,South Africa,Imports of Breathing devices 2010-2019 (Rand Millions ~approximately),25.08,,Overview of the health technology sector in South Africa
116,,,2018.0,,,,,,,,South Africa,Imports of Therapy Devices 2010-2019 (Rand Millions ~approximately),11.53,,Overview of the health technology sector in South Africa
117,,,2018.0,,,,,,,,South Africa,Imports of Electronic Imaging Devices 2010-2019 (Rand Millions ~approximately),4.068,,Overview of the health technology sector in South Africa
